- Select a Director —
Abdellatif Kechiche
Adam McKay
Adam Shankman
Alfred Hitchcock
Anthony Russo
Arie Posin
Baz Luhrmann
Ben Stiller
Bill Condon
Björn Stein
Brad Bird
Carlos Saldanha
Chris Weitz
Christopher Nolan
Christopher Spencer
Clif Prowse
Darren Aronofsky
David Ayer
David O. Russell
Denis Villeneuve
Dennis Dugan
Derek Lee
Drew Goddard
Farren Blackburn
Gary Fleder
George Lucas
Gore Verbinski
Harald Zwart
James Cameron
James Griffiths
James Ponsoldt
James Wan
Jan de Bont
Jason Bateman
Jason Moore
Jay Roach
Jim Jarmusch
Joe Russo
John Carney
John Lee Hancock
Jon S. Baird
Jonathan Glazer
Jonathan Levine
Joseph Gordon-Levitt
Joss Whedon
Ken Scott
Kimberly Peirce
Louis Leterrier
Mac Carter
Måns Mårlind
Martin Scorsese
Michael Bay
Mike Flanagan
Neil Burger
Nick Cassavetes
Peter Berg
Peter Jackson
Richard Curtis
Richard Donner
Richard Raaphorst
Richard Shepard
Ridley Scott
Robert Zemeckis
Roland Emmerich
Ruben Fleischer
Sam Mendes
Sam Raimi
Scott Cooper
Spike Jonze
Stanley Kubrick
Stephen Chbosky
Stephen Sommers
Steven Spielberg
Tim Burton
Tom Hooper
Wally Pfister
Wes Anderson
